description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds,date,country,city
clear sky,284.18,282.75,279.44,285.56,1028,54,10000.0,0.3,209,0,2023-07-18 00:09:22 UTC,ZA,Midrand
clear sky,283.84,282.43,279.87,285.99,1036,56,10000.0,1.34,130,0,2023-07-18 00:09:23 UTC,ZA,Sandton
clear sky,282.55,282.55,280.55,285.75,1029,54,10000.0,0.0,0,0,2023-07-18 00:14:50 UTC,ZA,Pretoria
clear sky,282.18,282.18,278.09,284.21,1028,56,10000.0,0.45,247,0,2023-07-18 00:17:53 UTC,ZA,Johannesburg
clear sky,282.72,282.72,279.97,286.37,1027,42,10000.0,0.56,166,0,2023-07-18 00:16:59 UTC,ZA,Centurion
clear sky,283.11,283.11,279.16,285.56,1028,54,10000.0,0.3,209,0,2023-07-18 00:19:24 UTC,ZA,Midrand
clear sky,283.48,282.0,279.59,285.99,1035,55,10000.0,1.34,131,0,2023-07-18 00:16:55 UTC,ZA,Sandton
clear sky,282.33,282.33,280.55,285.75,1029,55,10000.0,0.0,0,0,2023-07-18 00:29:25 UTC,ZA,Pretoria
clear sky,282.18,282.18,278.09,284.21,1028,56,10000.0,0.45,207,0,2023-07-18 00:25:54 UTC,ZA,Johannesburg
clear sky,282.72,282.72,279.97,286.37,1027,43,10000.0,0.56,166,0,2023-07-18 00:29:26 UTC,ZA,Centurion
clear sky,283.11,283.11,279.16,285.56,1028,53,10000.0,0.3,209,0,2023-07-18 00:29:27 UTC,ZA,Midrand
clear sky,283.48,282.0,279.59,285.99,1035,55,10000.0,1.34,128,0,2023-07-18 00:27:08 UTC,ZA,Sandton
clear sky,282.33,282.33,280.55,285.75,1029,55,10000.0,0.0,0,0,2023-07-18 00:35:09 UTC,ZA,Pretoria
clear sky,281.99,281.99,278.09,283.66,1028,57,10000.0,0.45,236,0,2023-07-18 00:39:28 UTC,ZA,Johannesburg
clear sky,282.72,282.72,279.97,285.82,1027,43,10000.0,0.75,155,0,2023-07-18 00:35:28 UTC,ZA,Centurion
clear sky,283.31,281.74,279.16,285.01,1027,52,10000.0,0.45,164,0,2023-07-18 00:39:29 UTC,ZA,Midrand
clear sky,283.54,282.07,279.59,285.44,1035,55,10000.0,1.34,141,0,2023-07-18 00:39:29 UTC,ZA,Sandton
clear sky,282.36,282.36,280.55,286.3,1029,55,10000.0,0.0,0,0,2023-07-18 00:49:30 UTC,ZA,Pretoria
clear sky,281.99,281.99,278.09,283.66,1028,57,10000.0,0.45,270,0,2023-07-18 00:45:05 UTC,ZA,Johannesburg
clear sky,282.82,282.82,279.97,285.82,1027,43,10000.0,0.75,155,0,2023-07-18 00:49:31 UTC,ZA,Centurion
clear sky,283.31,281.71,279.16,285.01,1027,51,10000.0,0.45,164,0,2023-07-18 00:47:38 UTC,ZA,Midrand
clear sky,283.54,282.07,279.59,285.44,1035,55,10000.0,1.34,145,0,2023-07-18 00:45:40 UTC,ZA,Sandton
clear sky,282.1,282.1,280.55,285.75,1029,55,10000.0,0.0,0,0,2023-07-18 00:59:32 UTC,ZA,Pretoria
clear sky,281.96,281.96,278.09,283.66,1028,57,10000.0,0.45,275,0,2023-07-18 00:59:32 UTC,ZA,Johannesburg
clear sky,282.44,282.44,279.97,285.82,1027,43,10000.0,0.75,155,0,2023-07-18 00:59:33 UTC,ZA,Centurion
clear sky,283.01,283.01,279.16,285.01,1027,54,10000.0,0.45,164,0,2023-07-18 00:59:33 UTC,ZA,Midrand
clear sky,283.37,281.91,279.59,285.44,1035,56,10000.0,1.34,120,0,2023-07-18 00:59:34 UTC,ZA,Sandton
clear sky,283.6,281.82,280.84,285.75,1027,43,10000.0,1.15,149,0,2023-07-18 01:07:12 UTC,ZA,Pretoria
clear sky,282.08,282.08,278.09,283.66,1028,57,10000.0,0.45,225,0,2023-07-18 01:05:24 UTC,ZA,Johannesburg
clear sky,283.17,281.35,280.25,285.82,1027,43,10000.0,0.75,155,0,2023-07-18 01:09:35 UTC,ZA,Centurion
clear sky,283.62,282.16,279.44,285.01,1027,55,10000.0,0.45,164,0,2023-07-18 01:08:54 UTC,ZA,Midrand
clear sky,283.51,282.09,279.87,285.44,1036,57,10000.0,0.89,121,0,2023-07-18 01:09:36 UTC,ZA,Sandton
clear sky,280.54,280.54,277.55,284.08,1029,60,10000.0,0.0,0,0,2023-07-18 01:14:56 UTC,ZA,Pretoria
clear sky,281.65,281.65,278.09,283.66,1028,57,10000.0,0.45,244,0,2023-07-18 01:18:29 UTC,ZA,Johannesburg
clear sky,281.22,281.22,276.97,285.82,1027,43,10000.0,0.75,155,0,2023-07-18 01:19:37 UTC,ZA,Centurion
clear sky,281.5,281.5,276.16,285.01,1027,65,10000.0,0.45,164,0,2023-07-18 01:19:38 UTC,ZA,Midrand
clear sky,282.65,282.65,276.59,285.44,1035,58,10000.0,0.89,117,0,2023-07-18 01:18:10 UTC,ZA,Sandton
clear sky,280.3,280.3,277.55,283.26,1029,60,10000.0,0.0,0,0,2023-07-18 01:25:43 UTC,ZA,Pretoria
clear sky,281.74,281.74,278.09,283.66,1028,57,10000.0,0.45,270,0,2023-07-18 01:29:39 UTC,ZA,Johannesburg
clear sky,280.97,280.97,276.97,285.82,1027,44,10000.0,0.75,155,0,2023-07-18 01:26:53 UTC,ZA,Centurion
clear sky,281.44,281.44,276.16,285.01,1027,35,10000.0,0.45,164,0,2023-07-18 01:29:41 UTC,ZA,Midrand
clear sky,282.46,282.46,276.59,285.44,1031,57,10000.0,0.0,0,0,2023-07-18 01:29:00 UTC,ZA,Sandton
clear sky,280.3,280.3,277.55,283.26,1029,60,10000.0,0.0,0,0,2023-07-18 01:39:42 UTC,ZA,Pretoria
clear sky,281.74,281.74,278.09,283.66,1028,57,10000.0,0.45,225,0,2023-07-18 01:39:08 UTC,ZA,Johannesburg
clear sky,280.97,280.97,276.97,285.82,1027,44,10000.0,0.68,137,0,2023-07-18 01:36:56 UTC,ZA,Centurion
clear sky,281.44,281.44,276.16,285.01,1027,36,10000.0,0.34,127,0,2023-07-18 01:39:43 UTC,ZA,Midrand
clear sky,282.46,282.46,276.59,285.44,1031,57,10000.0,0.0,0,0,2023-07-18 01:39:44 UTC,ZA,Sandton
clear sky,280.3,280.3,277.55,283.26,1029,60,10000.0,0.0,0,0,2023-07-18 01:49:46 UTC,ZA,Pretoria
clear sky,281.5,281.5,278.09,283.1,1028,57,10000.0,0.45,264,0,2023-07-18 01:49:46 UTC,ZA,Johannesburg
